SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,swathtrans,swath_ANTSOL,swath_ANTXAN,swath_APLCAL,swath_APOCAL,swath_APOPAR,swath_BALNUB,swath_CANSPP,swath_CENCOR,swath_COSCOS,swath_CRAGIG,swath_CRIALB,swath_CRYSTE,swath_DERIMB,swath_EISARBADSUB,swath_HALCOR,swath_HALKAM,swath_HALRUF,swath_HALWAL,swath_KELKEL,swath_LAMFAR,swath_LAMSETADSUB,swath_LEPCHI,swath_LOXGRA,swath_LOXSCY,swath_LYTPIC,swath_MACSTIPES,swath_MEDAEQ,swath_MEGCRE,swath_MEGUND,swath_MESFRAAD,swath_METSPP,swath_MURCAL,swath_MURFRU,swath_NEOSPA,swath_NERLUE,swath_ORTKOE,swath_PACFIM,swath_PANINT,swath_PATMIN,swath_PISBRE,swath_PISGIG,swath_PISOCH,swath_POMGIB,swath_PTECALADSUB,swath_PUGFOL,swath_PUGPRO,swath_PUGRIC,swath_PYCHEL,swath_STEOSMAD,swath_STRPURAD,swath_STYMON,swath_TETCAL,swath_URTPIS,swath_URTSPP,swath_LAMSPP,swath_EISARBAD,swath_EUGRUB,swath_HENLEV,swath_LAMSETAD,swath_LINCOL,swath_OCTOPUS,swath_PTECALAD,swath_TEGREG,swath_URTCOR,swath_URTCRA,swath_URTMCP,swath_URTCOLMCP,swath_CERFOL,swath_CUCMIN,swath_PLEGAR,swath_STYCAL,swath_MESFRAREC,swath_STRPURREC,swath_TEST
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2007,4,6.5,0,0.5,0,14,0,0,10.75,0,2.75,0,0,0,5,0,0,0,0,1.5,0,0,5.25,0,0.25,0,50,0,11.25,12.75,310.5,0,10,1.5,0.75,0,0,27,0,28.75,0,2.5,0,0,0,0,0,0,0,10.25,757.75,0,0.75,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2009,4,12.75,0,1.75,0,20.75,0,0,17.75,0,0.75,0,0,0,8.5,0,0,0,0,4,0,0,7.5,0,0,75.75,68.5,0,17.25,18,488.5,0,1.5,0,3.75,0,0,17.75,0,48,0,7,2,0,0,0,0,0,0.25,0.25,1161.75,0,1.25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,1999,10,0,0,4.7,0,0,0,0,0,0,1.8,0,0,0,3,0,0,0,0,0.6,0,0,0,0,0,0,275.4,0.2,1.6,0,125.5,0,0,0,2.2,0,0,0,0.1,1.4,0,0.1,0,0,0,0,0,0,0,19.5,816,0,0.1,0,6.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2007,4,27.25,0,0,0,8,0,0.25,4.5,0,0.5,0,0,0,5.25,0,0,0,0,2,15.75,0,0.5,0,0.5,2,132.5,0,12,4.25,209.5,0,1.25,0.5,13,0,0,2,0.75,3.75,0,5.5,0,0,4,0,0,0,0,14.25,103.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2009,4,40,0,1,0,19.25,0,0,5,0,0.5,0,0,0,4.25,0,0,0,0,1,19.5,0,1.25,0,0,0,216,0,12.25,9.75,235.5,0,4.5,0.75,8.75,0,0,1,0,1.5,0,4.25,0,0,0,0,0,0,0,64,405.25,0,1.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2007,4,7.25,0,4.75,0,12.5,0,0,4.25,0,5.75,0.25,0,0,0,0,0,0,0,1,0,0,2.75,0,0,0,81.75,0,9,19.5,403.75,0,4.25,0.75,1.75,0,0,4.5,0,31.75,0,1.25,0,0,8,0,0,0,0,3.75,1138.5,0,0.75,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2009,4,451.75,0,16.75,0,12.25,0,0,17.5,0,2.25,0,0,0,23.75,0,0,0,0,0.25,0,0,1,0,0.25,0,24.5,0,2,3.5,442.75,0,1,1,0.25,0,0,0.5,0,30.5,0,5,1,0,0,0,0,0,0,0,2259.25,0,2,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2007,4,55.75,0,7.75,0,31.5,0,0,6.25,0,3.25,0,0,0,4,0,0,0,0,0.5,0,0,1,0,0,0,175.5,0,7.25,8.25,140.75,0,1.5,0.25,1,0,0,2.5,0,9.75,0,2,0.75,0,0,0,0,0,0,40.25,1391.25,0,5.5,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2008,4,0,0,2,0,18,0,0,10,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0.75,0,0,1.5,0,0,10.75,3.25,166.25,0,2.25,0,1,0,0,8,0,28.5,0,2.5,0.5,0,0,0,0,0,0,0,535.75,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2009,4,366.75,0,1.75,0,7.5,0,0,1.75,0,4.25,0,0,0,37.25,0,0,0,0,0.5,0,0,1.25,0,0,9.25,34.25,0,6.75,0.25,276.75,0,4.5,0,0,0,0,11,0,23,0.25,2.25,4.5,0,0,0,0,0,0,1,1081.75,0,3,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
