SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,fishtrans,fish_CPUN,fish_GNIG,fish_HRUB,fish_HSEM,fish_OCAL,fish_OYT,fish_SMYS,fish_EJAC,fish_KGB,fish_PCLA,fish_SPUL,fish_BFRE,fish_MCAL,fish_OPIC,fish_PCLAYOY,fish_HROS,fish_RTOX,fish_RVAC,fish_STRE,fish_STREYOY,fish_SATR,fish_CPUNYOY,fish_OCALYOY,fish_SCAR,fish_CPRI,fish_ELAT,fish_SCAU,fish_SCHR,fish_HROSYOY,fish_HCAR,fish_ATHE,fish_SMAR,fish_SPULYOY,fish_PFUR,fish_OYB,fish_SMYSYOY,fish_SDALYOY,fish_SMINYOY,fish_HRUBYOY,fish_BFREYOY,fish_RFYOY,fish_EJACYOY,fish_SPAUYOY,fish_SPAU,fish_AFLA,fish_CAGGYOY,fish_MCALYOY,fish_OELO,fish_HDEC,fish_PNEB,fish_SHOPYOY,fish_SSAXYOY,fish_SSEMYOY,fish_SROSYOY,fish_SMIN,fish_SAUR,fish_SMEL,fish_RNIC,fish_SPINYOY,fish_HCARYOY,fish_ELATYOY,fish_SAURYOY,fish_HDECYOY,fish_PNEBYOY,fish_SENTYOY,fish_SMARYOY,fish_PFURYOY,fish_AOCEYOY,fish_OPICYOY,fish_SNEBYOY,fish_PCALYOY,fish_CVIOYOY,fish_PCOEYOY,fish_SDIPYOY,fish_RVACYOY,fish_RTOXYOY,fish_SRUBYOY,fish_HLAGYOY,fish_HANAYOY,fish_PNOTYOY,fish_EMBIYOY
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,1999,4,14.5,3,0.75,5,61,12.75,1,1,4.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2005,8,7,6.25,2,2.625,13.25,0.25,0.125,4.25,0.25,1.875,1.375,0.625,1.5,1.75,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2006,8,3.25,0.625,1.625,0.5,7.5,0.25,0,3,0,1.25,1,4,1,0.875,0,0,0.25,0.25,0.25,0,0.875,3.75,4.375,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2007,8,7,10.75,1.125,1.75,34.875,0,0,4,4.125,1.625,0.5,1,0.375,0.25,0,0.125,0,0.125,0,0,0.375,0,0,0,0.125,0.375,0,0.125,0.125,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2008,8,1.25,1.25,1,0.625,7.25,0.125,0,1.75,0,0.875,0.375,0.5,0.5,0.375,0,0,0,0.375,0,0,0,0,10.375,0,0,0,0,0,0,0,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2009,8,4.625,1,0.75,0.375,21.75,0,0,2.625,0,1.625,2.75,0.75,0.875,2.875,0,0,0,0.75,0,0,0.125,0,3.25,0.125,0,0.25,0,0.125,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,1999,5,27.2,4.6,1.6,4.4,29,4.8,1,0.6,0.2,1.4,4,0,0,0,0,0,0.4,0,0,0,0.4,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2005,8,1.25,0.375,0.25,0,5.625,0,0,0.625,0,1.5,0.5,13.375,0.5,0.625,0.125,0.125,0,0,0,0,0.375,0,0,0,0,0,0,0,0.125,0,0.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2006,8,2.5,0.75,0.125,0,1.25,0,0,0.5,0,4.5,0.25,1.375,0,0,0.125,0.125,0,0.625,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2007,8,3,0.875,0.375,1.625,15.75,0.25,0,1.125,1.25,3.375,0.375,2.375,0.5,0,0,0.125,0.125,0.375,0,0,0.5,0,0,0,0,0,0,0,0.125,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
