SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,upctrans,upc_COVERAGLSTR,upc_COVERANEM,upc_COVERBARNAC,upc_COVERBARROC,upc_COVERBARSAN,upc_COVERBRANCH,upc_COVERBROWN,upc_COVERBRYO,upc_COVERBUSHY,upc_COVERCLAM,upc_COVERCOMTUN,upc_COVERCORCAL,upc_COVERCRUCOR,upc_COVERCUCSPP,upc_COVERCUPCOR,upc_COVERDEADHOLD,upc_COVERDESSPP,upc_COVERDIACAL,upc_COVERDICTYOTALES,upc_COVERDIOCHA,upc_COVEREGRMEN,upc_COVERENCRED,upc_COVERERECOR,upc_COVERGORGAD,upc_COVERGREEN,upc_COVERHYDROID,upc_COVERLACY,upc_COVERLAMHOLD,upc_COVERLEAFY,upc_COVERMACPYRHF,upc_COVERMUD,upc_COVEROCTOCORAL,upc_COVERPHRCAL,upc_COVERSALTRI,upc_COVERSCUM,upc_COVERSHELL,upc_COVERSOLTUN,upc_COVERSPONGE,upc_COVERSTEOSM,upc_COVERTHYSQU,upc_COVERTUBEMAT,upc_COVERTUBEWORM,upc_COVERTURF,upc_RELIEFFLATREL,upc_RELIEFHIREL,upc_RELIEFMODREL,upc_RELIEFSLTREL,upc_SUBSTRATEBEDRK,upc_SUBSTRATEBOULD,upc_SUBSTRATECOB,upc_SUBSTRATESAND,upc_SUPERLAYERUNDBRIT,upc_SUPERLAYERUNDDET,upc_SUPERLAYERUNDLAMFAR,upc_SUPERLAYERUNDPAC,upc_COVERSCSB99RED,upc_COVERSARHOR
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2007,4,0,2,0,0,11,2,0,3,0,0,7,1,45,0,3,0,0,0,0,3,0,3,2,2,0,0,0,0,0,2,0,0,5,0,0,0,1,1,0,2,0,7,0,14,0,3,83,76,6,6,13,23,0,0,0,0,0
ANACAPA_ADMIRALS_CEN,34.0029,-119.4252,Anacapa Island SMCA,reference,reference,SCSR,0,2009,4,0,1,0,13,4,0,0,4,0,0,2,4,30,1,1,0,0,0,0,3,0,7,1,1,0,0,1,0,0,0,0,2,0,0,8,4,0,3,0,3,0,5,3,0,3,10,87,89,8,3,0,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,1999,10,0,1,0,8,20,0,6,8,0,0,0,1,12,0,0,0,1,0,0,0,0,0,15,0,0,1,0,0,0,4,0,0,1,0,0,0,2,1,0,0,0,0,0,5,4,20,70,74,11,3,12,0,0,0,0,6,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2007,4,0,2,0,1,23,1,0,12,0,0,3,3,21,0,0,0,0,1,0,1,0,1,18,0,0,1,0,0,0,2,0,0,0,0,2,3,0,2,0,1,3,0,0,28,0,12,60,69,13,1,18,0,0,0,0,0,0
ANACAPA_ADMIRALS_E,34.0034,-119.418,Anacapa Island SMCA,reference,reference,SCSR,0,2009,4,0,0,0,2,18,1,2,9,1,0,7,1,7,0,2,1,3,7,0,7,0,1,4,0,0,1,0,0,1,1,0,0,0,0,10,4,0,1,6,1,0,1,2,10,0,13,78,74,0,0,26,0,2,4,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2007,4,0,3,0,0,9,0,0,12,0,0,0,3,32,0,3,0,0,0,0,1,0,4,9,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,2,0,16,0,5,0,7,88,88,3,2,8,34,0,0,0,0,0
ANACAPA_ADMIRALS_W,34.0078,-119.4344,Anacapa Island SMCA,reference,reference,SCSR,0,2009,4,0,4,0,13,1,1,0,2,6,0,2,5,23,3,0,0,0,1,0,0,0,0,2,1,2,2,0,0,0,1,0,2,0,0,2,0,0,1,2,1,0,9,17,0,1,17,83,88,7,5,0,8,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2007,4,0,2,4,15,4,3,0,3,0,0,6,11,34,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,4,1,30,1,4,65,96,0,1,3,19,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2008,4,0,1,1,3,11,1,1,0,0,0,0,6,58,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,4,94,91,2,3,4,46,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2009,4,0,5,0,8,12,3,0,5,1,0,2,3,43,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,5,0,3,0,1,3,1,24,18,57,79,5,8,8,37,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2021,4,0,3,0,2,19,2,0,4,0,0,1,0,38,0,0,0,0,0,2,1,0,8,5,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,4,6,2,7,86,88,1,3,8,22,0,0,0,0,4
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2007,4,0,0,0,24,3,0,0,0,5,0,0,9,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,3,3,9,85,88,7,3,3,29,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2008,4,1,0,1,33,0,0,0,2,1,0,1,15,24,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,1,11,0,4,4,12,80,73,3,19,4,8,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2009,4,0,0,0,22,3,0,0,2,0,0,3,16,41,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,24,76,85,10,3,2,25,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.3858,Anacapa Island SMR,reference,reference,SCSR,0,2021,4,0,0,0,4,3,0,0,1,0,0,0,0,72,0,0,0,0,0,2,0,0,6,7,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,21,75,68,25,6,1,40,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2007,4,0,3,1,5,16,2,0,13,2,0,11,2,19,0,1,0,0,0,1,4,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,2,0,12,0,8,80,78,2,0,21,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2008,4,0,0,0,9,14,1,7,3,0,0,3,5,16,0,0,0,0,0,0,5,0,3,13,1,1,0,0,0,1,3,0,0,0,0,0,1,0,3,4,3,0,4,0,8,7,22,63,79,0,1,20,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2009,4,0,3,0,9,13,1,0,8,3,0,5,8,18,0,0,0,0,2,0,3,0,0,8,1,0,0,0,0,0,2,0,0,2,0,1,2,4,3,6,0,0,0,0,0,0,18,82,82,0,3,16,0,0,1,0,0,0
ANACAPA_EAST_FISH_CAMP_W,34.0031,-119.4042,Anacapa Island SMR,reference,reference,SCSR,0,2021,4,0,1,0,0,31,1,0,5,4,0,1,0,18,0,0,0,1,2,1,9,0,5,11,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,9,4,12,75,76,3,2,20,0,3,0,0,0,2
